word_table_index,word_section,word_object,module,excel_sheet,excel_start_row,excel_end_row,excel_section,excel_object,score,note
21,加样准确度与重复性检测,样本针S2加样重复性测试结果：,M1,1,358,385,加样准确度与重复性检测,样本针S2加样重复性测试结果：,174.5,已匹配
22,加样准确度与重复性检测,试剂针100ul加样重复性测试结果：,M1,1,386,413,加样准确度与重复性检测,试剂针100ul加样重复性测试结果：,163.25,已匹配
23,样本携带污染率检测,样本携带污染率检测,M1,1,416,430,样本携带污染率检测,参考中华人民共和国医药行业标准YY/T0654-2017，配制样品携带污染试剂Dye（加入50mg Orange G到5ml溶解的血清中混匀）和样品携带污染试剂Control Dye（由Dye稀释200倍），测定仪器样本针的携带污染率。,67.5,已匹配
24,反应盘温度检测,反应盘温度检测,M1,1,434,435,温度检测,反应盘温度检测,140.0,已匹配
25,临床测试精密度及准确性,质控品批号（正常水平）,M1,1,457,457,临床测试精密度及准确性,使用迈瑞公司的试剂和校准品，对如下表中的项目进行定标测试。然后，使用迈瑞常规生化复合定值质控品（水平1），对列表中的项目进行重复性检测。,60.0,已匹配
26,临床测试精密度及准确性,质控品批号（正常水平）,M1,1,457,457,临床测试精密度及准确性,使用迈瑞公司的试剂和校准品，对如下表中的项目进行定标测试。然后，使用迈瑞常规生化复合定值质控品（水平1），对列表中的项目进行重复性检测。,60.0,已匹配
27,临床测试精密度及准确性,质控品批号（水平1）,M1,1,457,457,临床测试精密度及准确性,使用迈瑞公司的试剂和校准品，对如下表中的项目进行定标测试。然后，使用迈瑞常规生化复合定值质控品（水平1），对列表中的项目进行重复性检测。,60.0,已匹配
28,临床测试精密度及准确性,质控品批号（水平1）,M1,1,457,457,临床测试精密度及准确性,使用迈瑞公司的试剂和校准品，对如下表中的项目进行定标测试。然后，使用迈瑞常规生化复合定值质控品（水平1），对列表中的项目进行重复性检测。,60.0,已匹配
29,电解质项目的精密度（选配ISE须执行）,1、电解质准确度,M1,1,573,584,电解质项目的精密度（选配ISE须执行）,1、电解质准确度,152.0,已匹配
30,电解质项目的精密度（选配ISE须执行）,电解质精密度,M1,1,586,604,电解质项目的精密度（选配ISE须执行）,2、电解质精密度,122.0,已匹配
31,电解质项目的精密度（选配ISE须执行）,NA线性范围验证,M1,1,608,627,电解质项目的精密度（选配ISE须执行）,Na线性范围验证,167.0,已匹配
32,电解质项目的精密度（选配ISE须执行）,k线性范围验证,M1,1,629,648,电解质项目的精密度（选配ISE须执行）,K线性范围验证,152.0,已匹配
33,电解质项目的精密度（选配ISE须执行）,CL线性范围验证,M1,1,650,669,电解质项目的精密度（选配ISE须执行）,Cl线性范围验证,152.0,已匹配
34,电解质项目的精密度（选配ISE须执行）,4、电解质稳定性,M1,1,671,682,电解质项目的精密度（选配ISE须执行）,4、电解质稳定性,152.0,已匹配
35,电解质项目的精密度（选配ISE须执行）,5、电解质携带污染率,M1,1,684,699,电解质项目的精密度（选配ISE须执行）,5、电解质携带污染率,152.0,已匹配
